name,short_name,type,street,house_number,postcode,town,lat,lon,name_de,name_fr,name_it,ror_id,wikidata_id,coara_signatory,dora_signatory,coara_member,grid_id,isni_id,crossref_funder_id,geonames_id,swissuniversities_id,swissuniversities_name,openalex_primary_id,openalex_ids,openorgs_ids
Institute of Teacher Education PH NMS Bern,PH NMS Bern,UTE,Waisenhausplatz,29.0,3011.0,Bern,46.9507,7.4452,Pädagogische Hochschulinstitut NMS,Institut de formation des enseignants PH NMS Bern,Pädagogisches Hochschulinstitut NMS Bern,https://ror.org/04shhzf53,Q1961196,No,No,No,,,,2661552.0,NMS,Pädagogisches Hochschulinstitut NMS Bern (formerly IVP NMS),I4210143584,I4210143584,
Pädagogische Hochschule FHNW,PH FHNW,UTE,Bahnhofstrasse,6,5210,Windisch,47.479,8.2184,Pädagogische Hochschule FHNW,Pädagogische Hochschule FHNW,Pädagogische Hochschule FHNW,https://ror.org/04fawj142,Q2120232,No,No,No,,,,2657976.0,PHNW,Pädagogische Hochschule Nordwestschweiz PH FHNW,I4399598484,I4399598484,openorgs____::9735c613fb47ef36274499e863c71624
SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,SUPSI-DFA,UTE,Piazza San Francesco,19,6600,Locarno,46.168,8.791,SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,,Q74435139,No,No,No,,,,,SUPSIDFA,SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,,,openorgs____::bbf28dbc8406d6baf3bda78834504d9f
St.Gallen University of Teacher Education,PHSG,UTE,Notkerstrasse,27.0,9000.0,Saint Gallen,47.4304,9.3855,Pädagogische Hochschule St.Gallen,Haute école pédagogique de Saint-Gall,Alta scuola pedagogica di San Gallo,https://ror.org/05m37v666,Q1768652,Yes,No,Yes,grid.466208.e,0000 0001 0271 5139,,2658822.0,PHSG,Pädagogische Hochschule St. Gallen PHSG,I4210158813,I4210158813,openorgs____::85dea0ea5b91fe6f00a1603563764461
Swiss Federal University for Vocational Education and Training,SFUVET,UTE,Kirchlindachstrasse,79.0,3052.0,Zollikofen,46.9953,7.4566,Eidgenössische Hochschule für Berufsbildung EHB,Haute école fédérale en formation professionnelle HEFP,Scuola universitaria federale per la formazione professionale SUFFP,https://ror.org/00zg4za48,Q1302632,No,No,No,grid.466173.1,0000 0001 2285 5681,,2657913.0,EHB,"Eidgenössische Hochschule für Berufsbildung, EHB",I4210097053,I4210097053,openorgs____::881c5106c8e95213d6efd149633fbd76
Thurgau University of Teacher Education,PHTG,UTE,Unterer Schulweg,3.0,8280.0,Kreuzlingen,47.6493,9.1772,Pädagogische Hochschule Thurgau,Haute école pédagogique de Thurgovie,Alta scuola pedagogica di Turgovia,https://ror.org/04bf6dq94,Q2120213,No,No,No,grid.466322.7,0000 0004 0613 3824,,2660108.0,PHTG,Pädagogische Hochschule Thurgau PHTG,I4210138261,I4210138261,openorgs____::60303930d3d8679558058c106c8bcffd
University of Speech Therapy Eastern Switzerland,hlo,UTE,Rorschacher Strasse,150.0,9000.0,Saint Gallen,47.4232,9.3703,hlo,Haute école suisse de logopédie Rorschach,Alta scuola svizzera di logopedia di Rorschach,https://ror.org/051rtfe77,Q2256173,No,No,No,grid.469491.7,0000 0004 0450 760X,,2658822.0,SHLR,Hochschule für Logopädie Ostschweiz hlo,I4210146015,I4210146015,
University of Teacher Education Bern,PHBern,UTE,Fabrikstrasse,8.0,3012.0,Bern,46.9556,7.4191,Pädagogische Hochschule Bern,Haute école pédagogique de Berne,Alta scuola pedagogica di Berna,https://ror.org/05jf1ma54,Q1664625,No,Yes,No,grid.454333.6,0000 0000 8585 5665,,2661552.0,PHB,Pädagogische Hochschule Bern PH Bern,I4210160491,I4210160491,openorgs____::8e172cf2a30972508523bd9b578d207f
University of Teacher Education Fribourg,HEP | PH FR,UTE,Rue de Morat,36,1700,Fribourg,46.80237,7.15128,Pädagogische Hochschule Freiburg,Haute École Pédagogique Fribourg,Alta scuola pedagogica di Friburgo,https://ror.org/048gre751,Q2120191,No,Yes,No,grid.469451.b,0000 0001 0266 4909,,2660718.0,,,I4210137605,I4210137605,openorgs____::c875ba8db60a222cfce620254982f8a2
University of Teacher Education Graubünden,PHGR,UTE,Scalärastrasse,17.0,7000.0,Chur,46.8587,9.5309,Pädagogische Hochschule Graubünden,Haute école pédagogique des Grisons,Alta scuola pedagogica dei Grigioni,https://ror.org/02fjgft97,Q2120195,No,No,No,grid.469478.0,0000 0000 9317 283X,,2661169.0,PHGR,Pädagogische Hochschule Graubünden | Alta scuola pedagogica dei Grigioni | Scola auta da pedagogia dal Grischun PHGR,I4210117930,I4210117930,openorgs____::f4340596c24a3bc32d65898b0bb970db
University of Teacher Education Lucerne,PH Luzern,UTE,Pfistergasse,20.0,6000.0,Lucerne,47.0511,8.3013,Pädagogische Hochschule Luzern,Haute école pédagogique de Lucerne,Alta scuola pedagogica di Lucerna,https://ror.org/0235ynq74,Q2044170,No,No,No,grid.465965.d,0000 0001 0348 1637,,2659811.0,PHLU,Pädagogische Hochschule Luzern PH Luzern,I4210112078,I4210112078,openorgs____::37841a2fd74b34ac55b177b1bd449d5f
University of Teacher Education Schaffhausen,PHSH,UTE,Ebnatstrasse,80.0,8200.0,Schaffhausen,47.6973,8.6366,Pädagogische Hochschule Schaffhausen,Haute école pédagogique de Schaffhouse,Alta scuola pedagogica di Sciaffusa,https://ror.org/03fs41j10,Q1524635,No,No,No,grid.466133.5,0000 0004 0450 7546,,2658761.0,PHSH,Pädagogische Hochschule Schaffhausen PHSH,I4210139224,I4210139224,openorgs____::357e073025c22028ea909fb31d7cfc79
