name,short_name,type,street,house_number,postcode,town,lat,lon,name_de,name_fr,name_it,ror_id,wikidata_id,coara_signatory,dora_signatory,coara_member,grid_id,isni_id,crossref_funder_id,geonames_id
University of Teacher Education Fribourg,HEP | PH FR,UTE,Rue de Morat,36,1700,Fribourg,46.8093,7.1528,Pädagogische Hochschule Freiburg,Haute École Pédagogique Fribourg,Alta scuola pedagogica Friburgo,https://ror.org/048gre751,,No,Yes,Yes,grid.469451.b,0000 0001 0266 4909,,2660718
University of Teacher Education Vaud,HEP Vaud,UTE,Avenue de Cour,33,1007,Lausanne,46.5160,6.6231,Pädagogische Hochschule Waadt,Haute École Pédagogique du Canton de Vaud,Alta scuola pedagogica del Canton Vaud,https://ror.org/01bvm0h13,,Yes,Yes,Yes,grid.466224.0,0000 0004 0613 4050,,2659994
University of Teacher Education in Special Needs,HfH,UTE,Schaffhauserstrasse,239,8050,Zurich,47.4114,8.5463,Interkantonale Hochschule für Heilpädagogik,Haute école intercantonale de pédagogie curative,Alta scuola intercantonale di pedagogia curativa,https://ror.org/00w9q2c06,Q1666124,No,Yes,No,grid.466279.8,0000 0001 0710 6332,,2657896
University of Teacher Education Bern,PHBern,UTE,Fabrikstrasse,8,3012,Bern,46.9556,7.4191,Pädagogische Hochschule Bern,Haute école pédagogique de Berne,Alta scuola pedagogica di Berna,https://ror.org/05jf1ma54,,No,Yes,Yes,grid.454333.6,0000 0000 8585 5665,,2661552
University of Teacher Education Graubünden,PHGR,UTE,Scalärastrasse,17,7000,Chur,46.8587,9.5309,Pädagogische Hochschule Graubünden,Haute école pédagogique des Grisons,Alta scuola pedagogica dei Grigioni,https://ror.org/02fjgft97,,No,No,No,grid.469478.0,0000 0000 9317 283X,,2661169
University of Teacher Education Lucerne,PH Luzern,UTE,Pfistergasse,20,6000,Lucerne,47.0511,8.3013,Pädagogische Hochschule Luzern,Haute école pédagogique de Lucerne,Alta scuola pedagogica di Lucerna,https://ror.org/0235ynq74,,No,No,No,grid.465965.d,0000 0001 0348 1637,,2659811
University of Teacher Education Schaffhausen,PHSH,UTE,Ebnatstrasse,80,8200,Schaffhausen,47.6973,8.6366,Pädagogische Hochschule Schaffhausen,Haute école pédagogique de Schaffhouse,Alta scuola pedagogica di Sciaffusa,https://ror.org/03fs41j10,,No,No,No,grid.466133.5,0000 0004 0450 7546,,2658761
University of Teacher Education Schwyz,PHSZ,UTE,Zaystrasse,42,6410,Goldau,47.0493,8.5478,Pädagogische Hochschule Schwyz,Haute école pédagogique de Schwyz,Alta scuola pedagogica di Svitto,https://ror.org/00rqdn375,Q2044172,Yes,Yes,No,grid.466169.a,0000 0004 0613 7454,,2660573
St.Gallen University of Teacher Education,PHSG,UTE,Notkerstrasse,27,9000,Saint Gallen,47.4304,9.3855,Pädagogische Hochschule St.Gallen,Haute école pédagogique de Saint-Gall,Alta scuola pedagogica di San Gallo,https://ror.org/05m37v666,Q1768652,Yes,No,No,grid.466208.e,0000 0001 0271 5139,,2658822
Thurgau University of Teacher Education,PHTG,UTE,Unterer Schulweg,3,8280,Kreuzlingen,47.6493,9.1772,Pädagogische Hochschule Thurgau,Haute école pédagogique de Thurgovie,Alta scuola pedagogica di Turgovia,https://ror.org/04bf6dq94,Q2120213,No,No,No,grid.466322.7,0000 0004 0613 3824,,2660108
University of Teacher Education Valais,HEP-VS,UTE,Avenue du Simplon,13,1890,Brig,46.2201,7.0033,Pädagogische Hochschule Wallis,Haute École Pédagogique du Valais,Alta scuola pedagogica del Vallese,https://ror.org/040gs8e06,Q1001137,No,Yes,No,grid.466216.1,0000 0001 2178 3217,,2661394
University of Teacher Education Zug,PH Zug,UTE,Zugerbergstrasse,3,6300,Zug,47.1643,8.5161,Pädagogische Hochschule Zug,Haute école pédagogique de Zoug,Alta scuola pedagogica di Zugo,https://ror.org/05ghhx264,,No,No,No,grid.466274.5,0000 0004 0449 2225,,2657908
University of Teacher Education Zurich,PH Zurich,UTE,Lagerstrasse,2,8090,Zurich,47.3792,8.5323,Pädagogische Hochschule Zürich,Haute école pédagogique de Zurich,Alta scuola pedagogica di Zurigo,https://ror.org/01awgk221,,Yes,Yes,Yes,grid.483054.e,0000 0000 9666 1858,,2657896
Institute of Teacher Education PH NMS Bern,PH NMS Bern,UTE,Waisenhausplatz,29,3011,Bern,46.9507,7.4452,Pädagogische Hochschulinstitut NMS,Institut de formation des enseignants PH NMS Bern,Pädagogisches Hochschulinstitut NMS Bern,https://ror.org/04shhzf53,,No,No,No,,,,2661552
University of Speech Therapy Eastern Switzerland,hlo,UTE,Rorschacher Strasse,150,9000,Saint Gallen,47.4232,9.3703,hlo,Haute école suisse de logopédie Rorschach,Alta scuola svizzera di logopedia di Rorschach,https://ror.org/051rtfe77,Q2256173,No,No,No,grid.469491.7,0000 0004 0450 760X,,2658822
